SOC_code,Job_title,Standard_going_rate_annual,Lower_going_rate_annual
1259,Managers and proprietors in other services not elsewhere classified,41400.0,33100
2111,Analytical chemists,39900.0,31300
2111,Industrial chemists,39900.0,31300
2111,Nuclear and radiochemists,39900.0,31300
2111,Research and development chemists,39900.0,31300
2111,Chemical scientists not elsewhere classified,39900.0,31300
2112,Agricultural scientists,40300.0,30700
2112,Biologists,40300.0,30700
2112,Botanical and horticultural scientists,40300.0,30700
2112,Microbiologists and bacteriologists,40300.0,30700
2112,Pathologists,40300.0,30700
2112,Pharmacologists,40300.0,30700
2112,Zoological scientists,40300.0,30700
2112,Biological scientists not elsewhere classified,40300.0,30700
2113,Biochemists,45900.0,35100
2113,Biomedical scientists,45900.0,35100
2113,Biotechnologists,45900.0,35100
2113,Clinical scientists,45900.0,35100
2113,Biochemists and biomedical scientists not elsewhere classified,45900.0,35100
2114,Geologists,54600.0,41500
2114,Geophysicists,54600.0,41500
2114,Hydrogeologists and hydrologists,54600.0,41500
2114,Meteorologists,54600.0,41500
2114,Physical scientists not elsewhere classified,54600.0,41500
2115,Anthropologists,40400.0,28000
2115,Archaeologists,40400.0,28000
2115,Behavioural scientists,40400.0,28000
2115,Epidemiologists,40400.0,28000
2115,Genealogists,40400.0,28000
2115,Geographic information systems (GIS) analysts,40400.0,28000
2115,Historians,40400.0,28000
2115,Political scientists,40400.0,28000
2115,Public health analysts,40400.0,28000
2115,Social and humanities scientists not elsewhere classified,40400.0,28000
2119,Sports scientists,41500.0,33700
2119,Natural and social science professionals not elsewhere classified,41500.0,33700
2121,Building and building services engineers,50400.0,39200
2121,Geotechnical engineers,50400.0,39200
2121,Mining engineers,50400.0,39200
2121,Structural engineers,50400.0,39200
2121,Transportation engineers,50400.0,39200
2121,Water engineers (professional),50400.0,39200
2121,Civil engineers not elsewhere classified,50400.0,39200
2122,Automotive engineers (professional),46800.0,38400
2122,Marine engineers and naval architects,46800.0,38400
2122,Mechanical design engineers,46800.0,38400
2122,Mechanical engineers not elsewhere classified,46800.0,38400
2123,Laser engineers,58700.0,47100
2123,Power systems engineers,58700.0,47100
2123,Railway signalling engineers,58700.0,47100
2123,Electrical engineers not elsewhere classified,58700.0,47100
2124,Broadcast engineers (professional),52000.0,41200
2124,Telecommunications engineers (professional),52000.0,41200
2124,Electronics engineers not elsewhere classified,52000.0,41200
2125,Chemical engineers,45000.0,36500
2125,Control and instrumentation engineers,45000.0,36500
2125,Industrial and production engineers,45000.0,36500
2125,Production and process engineers not elsewhere classified,45000.0,36500
2126,Aeronautical engineers (professional),52400.0,43400
2126,Aircraft engineers (professional),52400.0,43400
2126,Avionics engineers,52400.0,43400
2126,Aerospace engineers not elsewhere classified,52400.0,43400
2127,Engineering project managers and project engineers,51900.0,40600
2129,Acoustic engineers,46100.0,37500
2129,Biomedical engineers,46100.0,37500
2129,Brewers (qualified),46100.0,37500
2129,Clinical Engineers,46100.0,37500
2129,Energy engineers,46100.0,37500
2129,Food technologists,46100.0,37500
2129,Gas engineers (professional),46100.0,37500
2129,Heating and ventilating engineers (professional),46100.0,37500
2129,Materials engineers,46100.0,37500
2129,Mechatronic engineers,46100.0,37500
2129,Nuclear engineers,46100.0,37500
2129,Patent engineers,46100.0,37500
2129,Robotics engineers,46100.0,37500
2129,Traffic engineers,46100.0,37500
2129,Engineering professionals not elsewhere classified,46100.0,37500
2131,IT project managers,58200.0,42600
2132,IT information managers,55000.0,43000
2132,IT product managers,55000.0,43000
2132,IT service delivery managers,55000.0,43000
2132,IT systems managers,55000.0,43000
2132,IT test managers,55000.0,43000
2132,Network managers,55000.0,43000
2132,Software development managers,55000.0,43000
2132,Technical support managers,55000.0,43000
2132,IT managers not elsewhere classified,55000.0,43000
2133,Computer analysts and scientists,54900.0,42400
2133,Data architects,54900.0,42400
2133,Data engineers,54900.0,42400
2133,IT systems architects,54900.0,42400
2133,IT business analysts,54900.0,42400
2133,IT solutions architects and designers,54900.0,42400
2133,"IT business analysts, architects and systems designers not elsewhere classified",54900.0,42400
2134,Computer games designers,54700.0,40000
2134,Computer programmers,54700.0,40000
2134,Software developers,54700.0,40000
2134,Programmers and software development professionals not elsewhere classified,54700.0,40000
2135,Cyber operational defence specialists,48500.0,35300
2135,Cyber security management and governance specialists,48500.0,35300
2135,Forensic computer specialists,48500.0,35300
2135,Secure system development specialists,48500.0,35300
2135,Cyber security professionals not elsewhere classified,48500.0,35300
2136,IT quality and testing professionals,41200.0,34500
2137,IT network professionals,45600.0,38100
2139,DevOps engineers,52300.0,38700
2139,IT consultants,52300.0,38700
2139,Webmasters and website managers,52300.0,38700
2139,Information technology professionals not elsewhere classified,52300.0,38700
2141,Application designers,43800.0,31300
2141,UI and UX designers and researchers,43800.0,31300
2141,Web designers,43800.0,31300
2141,Web design professionals not elsewhere classified,43800.0,31300
2142,Multimedia animators,33400.0,26200
2142,Graphic and multimedia designers not elsewhere classified,33400.0,26200
2151,Conservationists,36000.0,29800
2151,Ecologists,36000.0,29800
2151,Heritage officers,36000.0,29800
2151,Conservation professionals not elsewhere classified,36000.0,29800
2152,Energy managers,37200.0,31400
2152,Environmental and geo-environmental engineers,37200.0,31400
2152,Environmental consultants,37200.0,31400
2152,Environmental scientists,37200.0,31400
2152,Sustainability officers,37200.0,31400
2152,Environmental professionals not elsewhere classified,37200.0,31400
2161,Laboratory managers,54400.0,40000
2161,Research and development (R&D) design managers,54400.0,40000
2161,Research and development (R&D) managers not elsewhere classified,54400.0,40000
2162,"Other researchers, unspecified discipline",43600.0,37400
2240,Veterinarians,49500.0,38000
2311,Higher education teaching professionals,52600.0,40600
2317,Teachers of English as a Foreign Language,36200.0,30100
2319,Adult education tutors,33400.0,27100
2319,Dance and drama school principals and owners,33400.0,27100
2319,Private music and singing teachers,33400.0,27100
2319,Private tutors,33400.0,27100
2319,Teaching professionals not elsewhere classified,33400.0,27100
2322,Education managers,43900.0,34900
2323,Educational advisers,42200.0,35700
2323,School inspectors,42200.0,35700
2324,Early education and childcare services managers,33400.0,25000
2329,Bursars,40600.0,30000
2329,Educational administrators,40600.0,30000
2329,Examiners and markers,40600.0,30000
2329,Other educational professionals not elsewhere classified,40600.0,30000
2411,Barristers and advocates,59400.0,37000
2411,Judges,59400.0,37000
2411,Barristers and judges not elsewhere classified,59400.0,37000
2412,Commercial solicitors and lawyers,51600.0,39000
2412,Criminal solicitors and lawyers,51600.0,39000
2412,Family solicitors and lawyers,51600.0,39000
2412,Property solicitors and lawyers,51600.0,39000
2412,Solicitors and lawyers not elsewhere classified,51600.0,39000
2419,Conveyancers,33400.0,25100
2419,Litigation executives,33400.0,25100
2419,Paralegals,33400.0,25100
